GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,TOTAL_GROUNDWATER_EXTRACTIONS,WUS_URBAN,WUS_INDUSTRIAL,WUS_AGRICULTURAL,WUS_MANAGED_WETLANDS,WUS_MANAGED_RECHARGE,WUS_VEGETATION,WUS_OTHER,WUS_OTHER_EXPLANATION
253,,2022,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,19688,6500,0,13188,0,0,0,0,
203,,2022,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,818507,43854,0,774653,0,0,0,0,
257,,2022,KAWEAH,5-022.11,Single Annual Report,Entire Basin,925400,60400,21800,842700,0,11900,400,0,
270,,2022,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,2343630,163032,0,1554176,0,520995,0,105428,"Banking Recovery, exchanges and pumpins"
249,,2022,KINGS,5-022.08,Single Annual Report,Entire Basin,1943168,161904,0,1744599,0,59990,0,36665,JID Wells Pumped in McMullin GSA
"196,236,262,269",,2022,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,676498,34133,0,642365,0,176,0,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
180,,2022,MERCED,5-022.04,Single Annual Report,Entire Basin,882399,51578,0,820521,10300,0,0,0,
191,,2022,MODESTO,5-022.02,Single Annual Report,Entire Basin,364100,53300,0,310800,0,0,0,0,
277,,2022,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,36500,0,0,36500,0,0,0,0,
230,,2022,TRACY,5-022.15,Single Annual Report,Entire Basin,28586,3819,519,21691,0,1519,0,1038,Remediation
255,,2022,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,549066,24160,0,516716,0,0,0,8190,Rural Domestic
"258,263,264,266,267,268",,2022,TULE,5-022.13,Multiple Annual Reports,Entire Basin,719338,16898,0,662300,0,0,0,40140,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
225,,2022,TURLOCK,5-022.03,Single Annual Report,Entire Basin,554400,38200,0,516200,0,0,0,0,
233,,2022,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,608000,0,0,608000,0,0,0,130,Small water systems (48 AF) and Domestic wells (82 AF)
271,,2022,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,60200,569,0,59631,0,0,0,0,
316,,2023,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,96080,3460,0,92620,0,0,0,0,
312,,2023,COSUMNES,5-022.16,Single Annual Report,Entire Basin,121600,4700,11000,105900,0,0,0,0,
331,,2023,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,231300,20700,5800,181300,20600,2900,0,0,
343,,2023,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,116157,5599,0,31408,0,0,0,0,
280,,2023,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,805994,41854,0,764140,0,0,0,0,
334,,2023,KAWEAH,5-022.11,Single Annual Report,Entire Basin,308100,57200,21800,228600,0,316800,400,0,
363,,2023,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,925464,157979,0,589169,0,174504,0,3811,"Lake Management, Use outside of Subbasin"
339,,2023,KINGS,5-022.08,Single Annual Report,Entire Basin,863611,147089,0,716301,0,651277,0,221,JID Wells Pumped in McMullin GSA
"317,321,329,376",,2023,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,272226,23119,0,249107,0,0,0,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
309,,2023,MERCED,5-022.04,Single Annual Report,Entire Basin,706717,44843,0,654814,7060,0,0,0,
297,,2023,MODESTO,5-022.02,Single Annual Report,Entire Basin,300300,48000,0,252300,0,0,0,0,
372,,2023,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,32200,200,0,32000,0,0,0,0,
318,,2023,TRACY,5-022.15,Single Annual Report,Entire Basin,8700,2500,700,3500,0,5800,0,2000,Remediation
381,,2023,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,213863,22342,0,183491,0,0,0,8030,Rural Domestic
"365,373,374,377,378,379",,2023,TULE,5-022.13,Multiple Annual Reports,Entire Basin,396810,20510,0,375500,0,0,0,4800,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
302,,2023,TURLOCK,5-022.03,Single Annual Report,Entire Basin,363900,35200,0,328700,0,0,0,0,
353,,2023,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,65000,0,0,65000,0,161930,0,130,Small water systems (48 AF) and Domestic wells (82 AF)
351,,2023,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,22600,1405,0,21195,0,0,1600,0,
384,,2024,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,256000,5500,0,250500,0,0,0,0,
409,,2024,COSUMNES,5-022.16,Single Annual Report,Entire Basin,120200,4800,11000,104400,0,0,0,0,
