GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METERS_VOLUME,MTRS_METHOD_EXPLANATION,MTRS_TYPE,MTRS_ACCURACY,MTRS_ACCURACY_EXPLANATION,ERECORDS_VOLUME,ERECORDS_METHOD_EXPLANATION,ERECORDS_TYPE,ERECORDS_ACCURACY,ERECORDS_ACCURACY_EXPLANATION,LUSE_VOLUME,LUSE_METHOD_EXPLANATION,LUSE_TYPE,LUSE_ACCURACY,LUSE_ACCURACY_EXPLANATION,GW_MODEL_VOLUME,GW_MODEL_METHOD_EXPLANATION,GW_MODEL_TYPE,GW_MODEL_ACCURACY,GW_MODEL_ACCURACY_EXPLANATION,OTHER_VOLUME,OTHER_METHOD_EXPLANATION,OTHER_TYPE,OTHER_ACCURACY,OTHER_ACCURACY_EXPLANATION
81,,2021,TRACY,5-022.15,Single Annual Report,Entire Basin,7087,Monthly readings,Direct,90-100 %,Provided by meter manufacturer,0,,,,,20700,Estimated groundwater pumping by Ag lands by each GSA area is the residual of = crop evapotranspiration - groundwater pumping - SW diversions reported - SW estimated riparian diversions - applied recycled water ,Estimate,40-50 %,"Actual crop evapotranspiration was calculated by ITRC using METRIC approach and is estimated to have an accuracy of 90 percent. The accuracy of the total water supply (metered) was about 10 percent of the total demand was assumed to be supplied with riparian water rights.  The accuracy was further reduced by elminating the demand between August through October, during the harvest season, resulting in the estimated groundwater pumping being reduced by 50 percent.  ",0,,,,,3000,Groundwater pumped by small community water systems and industrial users could not be located.  Population was available for some systems from Drinking Water Watch.  Used assumed 0.25 acre-feet per person to estimate.  Otherwise assumed total annual production of 100 AF.  Could not locate groundwater pumping for remedial activities.  Used previous year production totals.  ,Estimate,Other,The accuracy is likely about 50%.  Water use per person was based on statewide average of family of four using 1 acre foot per year.  Unknown number of people in some cases and if industrial activity required water. 
150,,2021,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,27105,Total data available from meters,Direct,0-5 %,Estimated,0,,,,,617161,Ag Pumping - Step 1: Determine Cropping Pattern; Step 2: Determine total crop demand (Total Crop Demand = Annual Crop Acreage * Annual Crop ETc); Step 3: Adjust for effective precipitation and irrigation efficiency [Farm Demand = (Total Crop Demand - Effective Precipitation) / Irrigation Efficiency]; Step 4: Calculate Un-met Demand (Un-met Demand = Farm Demand - Surface Water Deliveries) ,Estimate,10-20 %,Crop ET estimated from model. Outside of Agricultural lands estimated with best available data.,0,,,,,8221,Other - Step 1: Find rural population for current year; Step 2: Multiply Rural Pop by 179 gal per capita (Assumed value from Public Policy Institute of California's Water and the Futre of the San Joaquin Valley February 2019 ),Estimate,10-20 %,Population pulled from Census Bureau; Per capita volume uses estimate made from 2017 drought period
"164,165,166,167,168,170",,2021,TULE,5-022.13,Multiple Annual Reports,Entire Basin,35430,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,852100,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
82,,2021,TURLOCK,5-022.03,Single Annual Report,Entire Basin,34400,This estimate is from Municipal Wells provided by the Municipal purveyers in the basin.,Estimate,Other,"Model accuracy was not quantified and a ""high"" level of accuracy is assumed.",92900,This estimate is from agricultural irrigation wells provided by Turlock Irrigation District,Estimate,Other,"Model accuracy was not quantified and a ""high"" level of accuracy is assumed.",0,,,,,429900,"The IWFM model, C2VSimTM was used to estimate private agricultural groundwater production through the IDC which uses a combination of data on land use, cropping mix, precipitation, evapotranspiration, soil moisture, and respective parameters.",Estimate,Other,"Model accuracy was not quantified and a ""medium"" level of accuracy is assumed.",0,,,,
156,,2021,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,632000,"1,038 irrigation wells were metered",Direct,5-10 %,Accuracy can vary between meter models and calibration. Accuracy of 5-10% is an acceptable range considering this fact.,0,,,,,0,,,,,0,,,,,130,Estimate based on number of domestic wells and PWS self-reported values,Estimate,10-20 %,Percent was calculated based on the number of domestic wells and PWS self-reported values. 
158,,2021,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,21386,"Metered data provided by WRMWSD, AEWSD, and compiled from the State Board Electronic Annual Report System. ",Direct,Other,"reported data are assumed to have a high level of accuracy, with a precision of 0.01 AF or 0.001 AF",0,,,,,0,,,,,46914,Agricultural pumping is estimated by the Basin’s Soil Moisture Budget (SMB) Accounting model and input into the White Wolf Groundwater Flow Model (WWGFM) domain.,Estimate,Other,"Groundwater extractions estimated by the SMB have a lesser degree of accuracy, with a precision of 100 AF to 1,000 AF",0,,,,
193,,2022,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,37370,"Meter data includes: 
(1) Groundwater wells operated by the City of Chowchilla for urban water use. Potable water demand in the City of Chowchilla is currently met exclusively through groundwater, which is pumped directly into the distribution system to meet demands in the Urban Water Use Sector. The remaining rural residential and domestic water demand is estimated based on an urban lands water balance.
(2) Groundwater wells operated by certain landowners in TTWD GSA who are parties to the Subsidence Control Measures Agreement. A portion of agricultural water demand in areas managed by those landowners is met through groundwater pumping, and is metered and reported under the provisions of the Subsidence Control Measures Agreement.",Direct,5-10 %,"Estimated based on the typical field accuracy of meters, and the combined accuracy of volumes in the City of Chowchilla system (accounting for metered groundwater, metered deliveries, unmetered deliveries, and apparent losses).",0,,,,,371690,"Calculated as the closure of a Land Surface System water budget for the Chowchilla Subbasin (closure of each water use sector was calculated separately for each subregion, accounting for measured pumping). All other Land Surface System water budget components were quantified using measured volumes (where available) or using unitized IWFM Demand Calculator (IDC) model results multiplied by land use areas. Land use data was developed from Land IQ data, crop reports, and County Agriculture Commission land use data.",Estimate,20-30 %,"Typical uncertainty when calculated for Land Surface System water balance closure. Uncertainty of the water budget closure is calculated as the combined uncertainty of all other water budget flow paths following the procedure described by Clemmens and Burt (1997), as discussed in the Annual Report. The uncertainties of all other flow paths are quantified based on measurement device accuracy, technical literature, or professional judgment.",0,,,,,0,,,,
254,,2022,COSUMNES,5-022.16,Single Annual Report,Entire Basin,4400,City of Galt PWS,Direct,Other,unknown,0,,,,,123500,"Agricultural extractions were estimated from land use and climate data using the Irrigation Demand Calculator (IDC) within Cosumnes, South American, and North American Model (CoSANA). Domestic (Agricultural-Residential [Ag-Res]) extractions were estimated based on representative indoor and outdoor water use and estimated number of residential parcels in the Basin.",Estimate,90-100 %,"Land use accuracy of 95% based on ground-truthing efforts and comparisons with other mapping methods (e.g., remote sensing).",0,,,,,11400,Reported,Estimate,Other,unknown
204,,2022,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,0,,,,,0,,,,,0,,,,,0,,,,,563900,Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six GSP regions,Estimate,Other,Measurement method is Estimate and varies by each of the 23 GSAs in the Delta-Mendota Subbasin
253,,2022,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,9879,City and Irrigation District wells were metered.,Direct,5-10 %,Meter model type and calibration accuracy can vary an esitmate of 5-10% is considered satisfactory,0,,,,,0,,,,,8509,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. ,Estimate,20-30 %,"Typical uncertainty associated with water demand estimates using land use, climate, surface water supply and irrigation efficiency data",1300,Groundwater estimated pumped by public water systems and domestic well users,Estimate,Other,Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well
203,,2022,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,32307,Metered groundwater pumping reported by local agencies is included in this total volume. ,Direct,90-100 %,The accuracy percentage shown indicates the accuracy percentage assumed at metered wells in the Subbasin. ,0,,,,,0,,,,,786200,"Agricultural, private domestic, and other groundwater production in the Subbasin is largely unmetered and were estimated using the Eastern San Joaquin Water Resources Model, which bases water use on crop type, hydrologic data (precipitation and evapotranspiration), irrigation efficiency, and population information. ",Estimate,Other,"The estimates provided by the Eastern San Joaquin Water Resources Model have a qualitative level of accuracy of ""Medium."" ",0,,,,
257,,2022,KAWEAH,5-022.11,Single Annual Report,Entire Basin,60400,Propeller and Magnetic meters on public wells,Direct,0-5 %,Typical manufacturer accuracy for Propeller and Magnetic meters,0,,,,,842700,Estimated groundwater pumping from satellite ET analysis on applied water minus surface water deliveries,Estimate,10-20 %,Based on the accuracy of the satellite ET analysis provided by others,0,,,,,21800,Est. for rural domestic and small systems on dwelling unit and pop. density; Industry (dairy & golf courses) based on presence/cow count,Estimate,20-30 %,Accuracy based from other technical studies and professional judgement
270,,2022,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,1078806,"Meters and comparable measuring devices operated by local water agencies, water purveyors and city water departments in compliance with AWWA and other relevant standards",Direct,0-5 %,"These data were collected from well meters by experienced water agency staff following monitoring protocols for urban and agricultural water supply.  Meters are considered to be well-maintained and tested; therefore, reported data meet high accuracy levels in compliance with AWWA and other relevant standards. In accordance with these standards for water supply, meter accuracy is assumed to range between 0% and 5%.  ",0,,,,,1264824,IWFM Demand Calculator (IDC) in C2VSimFG-Kern,Estimate,10-20 %,"Estimated groundwater extractions is based on simulation results of the IDC tool within C2VSimFG-Kern model.  The water balance accuracy of the groundwater model is considered to be medium, approximately ranging between 10% and 20%.  Input data based on metered data is assumed to have an accuracy of 0% to 5%.  The agricultural pumping, which is the largest component of groundwater extraction, are estimated using the ITRC-METRIC based ET Rates.  ITRC (2020) lists the accuracy of the ET measurements as ranging from 7% to 10%. Land use is based on Kern County Agricultural Commissioner annual land use data including crop type.  Soil properties are assumed are based on local soil survey data which have a higher level of uncertainty.  Applying a weighted average of these inputs to the overall water budget produces a relative accuracy for the land use calculation for agricultural groundwater extractions ranging between 10% and 20%. ",0,,,,,0,,,,
249,,2022,KINGS,5-022.08,Single Annual Report,Entire Basin,193837,Flow meters,Direct,0-5 %,Typical accuracy for propeller and magnetic meters,0,,,,,1707631,Calculated pumping from crop water demands minus surface water deliveries,Estimate,10-20 %,Based on accuracy of Crop evapotranspiration estimates,0,,,,,41700,Rural domestic pumping estimated based on vegetated area and standard indoor use,Estimate,10-20 %,Accuracy based on professional judgement
"196,236,262,269",,2022,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,13583,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,635330,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,28825,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
180,,2022,MERCED,5-022.04,Single Annual Report,Entire Basin,151186,Groundwater extraction data from groundwater agencies located in the Merced Subbasin were directly measured. Data are a mixture of metered and some data from pump tests using run time data.,Direct,Other,Metered data have a qualitative high level of accuracy. Many agencies reported metered groundwater pumping data and did not have information on an exact percent accuracy.,0,,,,,0,,,,,728686,"Groundwater extractions from private irrigators and domestic wells are estimated by the Merced Water Resources Model (MercedWRM) based on factors including land use, evapotranspiration, and population. Details about the MercedWRM can be found in the GSP and Section 3.5.3 of the Annual Report.",Estimate,Other,The estimates provided by the MercedWRM have a qualitative medium level of accuracy.,2527,"Estimates were generated by the Merced National Wildlife Refuge based on daily estimates for several subunits of their management area, developed internally by Refuge staff.",Estimate,Other,The estimates provided by the Merced National Wildlife Refuge have a qualitative medium level of accuracy.
191,,2022,MODESTO,5-022.02,Single Annual Report,Entire Basin,85500,This estimate is from Municipal Wells provided by the Municipal purveyers in the basin.,Estimate,Other,"Model accuracy was not quantified and a ""high"" level of accuracy is assumed.",0,,,,,0,,,,,278600,"The IWFM model, C2VSimTM was used to estimate private agricultural groundwater production through the IDC which uses a combination of data on land use, cropping mix, precipitation, evapotranspiration, soil moisture, and respective parameters.",Estimate,Other,"Model accuracy was not quantified and a ""medium"" level of accuracy is assumed.",0,,,,
277,,2022,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,40100,"Flowmeters, CFS, Acre-Feet",Direct,5-10 %,"New meters are 5%, older meters are 10%, ",0,,,,,0,,,,,0,,,,,0,,,,
230,,2022,TRACY,5-022.15,Single Annual Report,Entire Basin,5252,Monthly readings,Direct,90-100 %,Provided by meter manufacturer,0,,,,,21116,"For Ag lands, actual crop evapotraspiration (ETc) was calculated LandSat and METRIC approach where ETc - Surface Water diversions or recycled water by each GSA area was >0, value reported as groundwater pumping.  Oct thru Jan not reported as these months include harvest season and months during which the crops were not planted or irrigated (See Appendix D for details).",Estimate,70-80 %,"Actual crop evapotranspiration was calculated by ITRC using METRIC approach and is estimated to have an accuracy of 90 percent. The accuracy of the total water supply (metered) was about 10 percent of the total demand was assumed to be supplied with riparian water rights.  The accuracy was further reduced by elminating the demand between August through October, during the harvest season, resulting in the estimated groundwater pumping being reduced by 50 percent.  ",0,,,,,700,Estimated from previous water year,Estimate,50-60 %,Reported values from previous water year
255,,2022,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,24160,Total data available from meters,Direct,0-5 %,Estimated,0,,,,,516716,Ag Pumping - Step 1: Determine Cropping Pattern; Step 2: Determine total crop demand (Total Crop Demand = Annual Crop Acreage * Annual Crop ETc); Step 3: Adjust for effective precipitation and irrigation efficiency [Farm Demand = (Total Crop Demand - Effective Precipitation) / Irrigation Efficiency]; Step 4: Calculate Un-met Demand (Un-met Demand = Farm Demand - Surface Water Deliveries) ,Estimate,10-20 %,Crop ET estimated from model. Outside of Agricultural lands estimated with best available data.,0,,,,,8190,Other - Step 1: Find rural population for current year; Step 2: Multiply Rural Pop by 179 gal per capita (Assumed value from Public Policy Institute of California's Water and the Future of the San Joaquin Valley February 2019 ),Estimate,10-20 %,Population pulled from Census Bureau; Per capita volume uses estimate made from 2017 drought period
"258,263,264,266,267,268",,2022,TULE,5-022.13,Multiple Annual Reports,Entire Basin,57038,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,662300,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
225,,2022,TURLOCK,5-022.03,Single Annual Report,Entire Basin,32000,This estimate is from Municipal Wells provided by the Municipal purveyors in the basin.,Estimate,Other,"Metered accuracy was not quantified, and a ""high"" level of accuracy is assumed.",75900,This estimate is from agricultural irrigation wells provided by Turlock Irrigation District,Estimate,Other,"Electrical records accuracy was not quantified, and a ""high"" level of accuracy is assumed.",0,,,,,446500,"The IWFM model, C2VSimTM was used to estimate private groundwater production. Simulated groundwater production is based on published data, including land use, precipitation, evapotranspiration, population, per-capita water use, and soil parameters.",Estimate,Other,"Model accuracy was not quantified, and a ""medium"" level of accuracy is assumed.",0,,,,
233,,2022,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,608000,"1,034 irrigation wells were metered",Direct,5-10 %,Accuracy can vary between meter models and calibration. Accuracy of 5-10% is an acceptable range considering this fact.,0,,,,,0,,,,,0,,,,,130,Estimate based on number of domestic wells and PWS self-reported values extrapolated to current WY,Estimate,70-80 %,Percent was calculated based on the number of domestic wells and PWS self-reported values. 
271,,2022,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,19981,"Metered data provided by WRMWSD, AEWSD, and compiled from the State Board Electronic Annual Report System. ",Direct,Other,"reported data are assumed to have a high level of accuracy, with a precision of 0.01 AF or 0.001 AF",0,,,,,0,,,,,40219,Agricultural pumping is estimated by the Basin’s Soil Moisture Budget (SMB) Accounting model and input into the White Wolf Groundwater Flow Model (WWGFM) domain.,Estimate,Other,"Groundwater extractions estimated by the SMB have a lesser degree of accuracy, with a precision of 100 AF to 1,000 AF",0,,,,
316,,2023,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,18090,"Meter data includes: 
(1) Groundwater wells operated by the City of Chowchilla for urban water use. Potable water demand in the City of Chowchilla is currently met exclusively through groundwater, which is pumped directly into the distribution system to meet demands in the Urban Water Use Sector. The remaining rural residential and domestic water demand is estimated based on an urban lands water balance.
(2) Groundwater wells operated by certain landowners in TTWD GSA who are parties to the Subsidence Control Measures Agreement. A portion of agricultural water demand in areas managed by those landowners is met through groundwater pumping, and is metered and reported under the provisions of the Subsidence Control Measures Agreement.",Direct,5-10 %,"Estimated based on the typical field accuracy of meters, and the combined accuracy of volumes in the City of Chowchilla system (accounting for metered groundwater, metered deliveries, unmetered deliveries, and apparent losses).",0,,,,,77990,"Calculated as the closure of a Land Surface System water budget for the Chowchilla Subbasin (closure of each water use sector was calculated separately for each subregion, accounting for measured pumping). All other Land Surface System water budget components were quantified using measured volumes (where available) or using unitized IWFM Demand Calculator (IDC) model results multiplied by land use areas. Land use data was developed from Land IQ data, USDA CropScape data, and crop report data.",Estimate,20-30 %,"Typical uncertainty when calculated for Land Surface System water balance closure. Uncertainty of the water budget closure is calculated as the combined uncertainty of all other water budget flow paths following the procedure described by Clemmens and Burt (1997), as discussed in the Annual Report. The uncertainties of all other flow paths are quantified based on measurement device accuracy, technical literature, or professional judgment.",0,,,,,0,,,,
312,,2023,COSUMNES,5-022.16,Single Annual Report,Entire Basin,4500,Urban PWS,Direct,Other,unknown,0,,,,,105900,"Agricultural extractions were estimated from land use and climate data using the Irrigation Demand Calculator (IDC) within Cosumnes, South American, and North American Model (CoSANA). Domestic (Agricultural-Residential [Ag-Res]) extractions were estimated based on representative indoor and outdoor water use and estimated number of residential parcels in the Basin.",Estimate,90-100 %,"Land use accuracy of 95% based on ground-truthing efforts and comparisons with other mapping methods (e.g., remote sensing).",0,,,,,11000,Reported,Estimate,Other,unknown
331,,2023,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,23500,Metered measurements reported for Managed Wetlands and Managed Recharge water use sectors,Direct,Other,"Meter accuracy varies throughout the Subbasin based on water use sector, ranging from 'Unknown' (Managed Wetlands) to 0-5% (Managed Recharge)",0,,,,,0,,,,,0,,,,,207800,Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin,Estimate,Other,Measurement method is 'Estimate' and varies by each of the 23 GSAs in the Delta-Mendota Subbasin
343,,2023,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,7335,City and Irrigation District wells were metered.,Direct,5-10 %,Meter model type and calibration accuracy can vary an esitmate of 5-10% is considered satisfactory,0,,,,,0,,,,,29672,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. ,Estimate,20-30 %,"Typical uncertainty associated with water demand estimates using land use, climate, surface water supply and irrigation efficiency data",1300,Groundwater estimated pumped by public water systems and domestic well users,Estimate,Other,Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well
280,,2023,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,36894,Metered groundwater pumping reported by local agencies is included in this total volume. ,Direct,90-100 %,The accuracy percentage shown indicates the accuracy percentage assumed at metered wells in the Subbasin. ,0,,,,,0,,,,,769100,"Agricultural, private domestic, and other groundwater production in the Subbasin is largely unmetered and were estimated using the Eastern San Joaquin Water Resources Model, which bases water use on crop type, hydrologic data (precipitation and evapotranspiration), irrigation efficiency, and population information. ",Estimate,Other,"The estimates provided by the Eastern San Joaquin Water Resources Model have a qualitative level of accuracy of ""Medium."" ",0,,,,
334,,2023,KAWEAH,5-022.11,Single Annual Report,Entire Basin,57200,Propeller and Magnetic meters on public wells,Direct,0-5 %,Typical manufacturer accuracy for Propeller and Magnetic meters,0,,,,,228600,Estimated groundwater pumping from satellite ET analysis on applied water minus surface water deliveries,Estimate,10-20 %,Based on the accuracy of the satellite ET analysis provided by others,0,,,,,21800,Est. for rural domestic and small systems on dwelling unit and pop. density; Industry (dairy & golf courses) based on presence/cow count,Estimate,20-30 %,Accuracy based from other technical studies and professional judgement
363,,2023,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,304018,"Meters and comparable measuring devices operated by local water agencies, water purveyors and city water departments in compliance with AWWA and other relevant standards",Direct,0-5 %,"These data were collected from well meters by experienced water agency staff following monitoring protocols for urban and agricultural water supply.  Meters are considered to be well-maintained and tested; therefore, reported data meet high accuracy levels in compliance with AWWA and other relevant standards. In accordance with these standards for water supply, meter accuracy is assumed to range between 0% and 5%.  ",0,,,,,621445,IWFM Demand Calculator (IDC) in C2VSimFG-Kern,Estimate,10-20 %,"Estimated groundwater extractions is based on simulation results of the IDC tool within C2VSimFG-Kern model.  The water balance accuracy of the groundwater model is considered to be medium, approximately ranging between 10% and 20%.  Input data based on metered data is assumed to have an accuracy of 0% to 5%.  The agricultural pumping, which is the largest component of groundwater extraction, are estimated using the ITRC-METRIC based ET Rates.  ITRC (2020) lists the accuracy of the ET measurements as ranging from 7% to 10%. Land use is based on Kern County Agricultural Commissioner annual land use data including crop type.  Soil properties are assumed are based on local soil survey data which have a higher level of uncertainty.  Applying a weighted average of these inputs to the overall water budget produces a relative accuracy for the land use calculation for agricultural groundwater extractions ranging between 10% and 20%. ",0,,,,,0,,,,
339,,2023,KINGS,5-022.08,Single Annual Report,Entire Basin,109923,Flow meters,Direct,0-5 %,Typical accuracy for propeller and magnetic meters,0,,,,,711988,Calculated pumping from crop water demands minus surface water deliveries,Estimate,10-20 %,Based on accuracy of Crop evapotranspiration estimates,0,,,,,41700,Rural domestic pumping estimated based on vegetated area and standard indoor use,Estimate,10-20 %,Accuracy based on professional judgement
"317,321,329,376",,2023,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,10859,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,254698,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,6669,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
309,,2023,MERCED,5-022.04,Single Annual Report,Entire Basin,58712,Groundwater extraction data from groundwater agencies located in the Merced Subbasin were directly measured. Data are a mixture of metered and some data from pump tests using run time data.,Direct,Other,Metered data have a qualitative high level of accuracy. Many agencies reported metered groundwater pumping data and did not have information on an exact percent accuracy.,0,,,,,0,,,,,646866,"Groundwater extractions from private irrigators and domestic wells are estimated by the Merced Water Resources Model (MercedWRM) based on factors including land use, evapotranspiration, and population. Details about the MercedWRM can be found in the GSP and Section 3.5.2 of the Annual Report.",Estimate,Other,The estimates provided by the MercedWRM have a qualitative medium level of accuracy.,1139,"Estimates were generated by the Merced National Wildlife Refuge based on daily estimates for several subunits of their management area, developed internally by Refuge staff.",Estimate,Other,The estimates provided by the Merced National Wildlife Refuge have a qualitative medium level of accuracy.
297,,2023,MODESTO,5-022.02,Single Annual Report,Entire Basin,42000,This estimate is from Municipal Wells provided by the Municipal purveyers in the basin.,Estimate,Other,"Model accuracy was not quatified and a ""high"" level of accuracy is assumed.",0,,,,,0,,,,,258300,"The IWFM model, C2VSimTM was used to estimate private agricultural groundwater production through the IDC which uses a combination of data on land use, cropping mix, precipitation, evapotranspiration, soil moiusture, and respective parameters.",Estimate,Other,"Model accuracy was not quantified and a ""medium"" level of accuracy is assumed.",0,,,,
372,,2023,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,32000,Propeller Flow Meters,Direct,0-5 %,Manufacturers Testing,0,,,,,0,,,,,0,,,,,200,Urban Estimate,Estimate,10-20 %,General Urban Water Use.
318,,2023,TRACY,5-022.15,Single Annual Report,Entire Basin,5200,Monthly readings,Direct,90-100 %,Provided by meter manufacturer,0,,,,,3500,"For Ag lands, actual crop evapotraspiration (ETc) was calculated OpenET and eeMETRIC approach where ETc - Surface Water diversions or recycled water by each GSA area was >0, value reported as groundwater pumping.  Oct thru Jan not reported as these months include harvest season and months during which the crops were not planted or irrigated (See Appendix C for details). Not reported for March and April due to rain and carry-over effects.",Estimate,70-80 %,"Actual crop evapotranspiration was calculated using OpenET and eeMETRIC approach and is estimated to have an accuracy of 90 percent. Total demand included an estimate of about 6,000 AF of water that was assumed to be supplied with riparian water rights.  Surface water diversions were not availabe for WY2023 so 2017 diverisions from SWRCB were used since it was a similar wet year.  The accuracy was further reduced by elminating the demand between August through October, during the harvest season.  The results were further refined to remove months where precipitation would have prevented growers from planting or carry over from previous month's rain events.  ",0,,,,,0,,,,
