GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METERS_VOLUME,MTRS_METHOD_EXPLANATION,MTRS_TYPE,MTRS_ACCURACY,MTRS_ACCURACY_EXPLANATION,ERECORDS_VOLUME,ERECORDS_METHOD_EXPLANATION,ERECORDS_TYPE,ERECORDS_ACCURACY,ERECORDS_ACCURACY_EXPLANATION,LUSE_VOLUME,LUSE_METHOD_EXPLANATION,LUSE_TYPE,LUSE_ACCURACY,LUSE_ACCURACY_EXPLANATION,GW_MODEL_VOLUME,GW_MODEL_METHOD_EXPLANATION,GW_MODEL_TYPE,GW_MODEL_ACCURACY,GW_MODEL_ACCURACY_EXPLANATION,OTHER_VOLUME,OTHER_METHOD_EXPLANATION,OTHER_TYPE,OTHER_ACCURACY,OTHER_ACCURACY_EXPLANATION
27,,2019,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,119000,821 of 910 irrigation wells were metered. Extraction of wells without meters were assumed to be similar to that of metered wells. ,Direct,5-10 %,Accuracy can vary between meter models and calibration. Accuracy of 5-10% is an acceptable range considering this fact.,0,,,,,0,,,,,0,,,,,178,Estimate based on number of domestic wells and PWS self-reported values,Estimate,70-80 %,Percent was calculated based on the number of domestic wells and PWS self-reported values. 
54,,2020,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,2880,"Groundwater wells operated by the City of Chowchilla for urban water use are metered. Potable water demand in the City of Chowchilla is currently met exclusively through groundwater, which is pumped directly into the distribution system to meet demands in the Urban Water Use Sector. Remaining rural residential and domestic water demand is estimated based on an urban lands water balance.",Direct,5-10 %,"Estimated based on the typical field accuracy of meters, and the combined accuracy of volumes in the City of Chowchilla system (accounting for metered groundwater, metered deliveries, unmetered deliveries, and apparent losses)",0,,,,,310550,"Calculated as the closure of a Land Surface System water budget for the Chowchilla Subbasin (closure of each water use sector was calculated separately for each subregion, accounting for measured pumping in City of Chowchilla). All other Land Surface System water budget components were quantified using measured volumes (where available) or using unitized IWFM Demand Calculator (IDC) model results multiplied by land use areas. Land use data came from County Agriculture Commission land use data (spatially interpolated from DWR Land Use Survey results and Land IQ coverages using the DWR interpolation tool).",Estimate,20-30 %,"Typical uncertainty when calculated for Land Surface System water balance closure. Uncertainty of the water budget closure is calculated as the combined uncertainty of all other water budget flow paths following the procedure described by Clemmens and Burt (1997), as discussed in the Annual Report. The uncertainties of all other flow paths are quantified based on measurement device accuracy, technical literature, or professional judgment.",0,,,,,0,,,,
59,,2020,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,0,,,,,0,,,,,0,,,,,0,,,,,394300,Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six Subbasin GSP regions,Estimate,Other,Measurement method is Estimate and varies by each of the 23 GSAs in the Delta-Mendota Subbasin
51,,2020,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,32316,Metered groundwater pumping reported by local agencies is included in this total volume. ,Direct,90-100 %,The accuracy percentage showed indicates the accuracy percentage assumed at metered wells in the Subbasin. ,0,,,,,0,,,,,758100,"Agricultural, private domestic, and other groundwater production in the Subbasin is largely unmetered and were estimated using the Eastern San Joaquin Water Resources Model, which bases water use on crop type, hydrologic data (precipitation and evapotranspiration), irrigation efficiency, and population information. ",Estimate,Other,"The estimates provided by the Eastern San Joaquin Water Resources Model have a qualitative level of accuracy of ""Medium."" ",0,,,,
60,,2020,KAWEAH,5-022.11,Single Annual Report,Entire Basin,54000,Propeller and Magnetic Meters on public wells,Direct,0-5 %,Typical manufacturer accuracy for Propeller and Magnetic meters,0,,,,,940000,Estimated groundwater pumping from satellite ET analysis on applied water minus surface water deliveries,Estimate,10-20 %,Based on the accuracy of the satellite ET analysis provided by others,0,,,,,28700,Est. for rural domestic and small systems on dwelling unit and pop. density; Industry (dairy & golf courses) based on presence/cow count,Estimate,20-30 %,Accuracy based from other technical studies and professional judgement
63,,2020,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,602324,"Meters and comparable measuring devices operated by local water agencies, water purveyors and city water departments in compliance with AWWA and other relevant standards",Direct,0-5 %,"These data were collected from well meters by experienced water agency staff following monitoring protocols for urban and agricultural water supply.  Meters are considered to be well-maintained and tested; therefore, reported data meet high accuracy levels in compliance with AWWA and other relevant standards. In accordance with these standards for water supply, meter accuracy is assumed to range between 0% and 5%.  ",0,,,,,1232731,IWFM Demand Calculator (IDC) in C2VSimFG-Kern,Estimate,10-20 %,"Estimated groundwater extractions is based on simulation results of the IDC tool within C2VSimFG-Kern model.  The water balance accuracy of the groundwater model is considered to be medium, approximately ranging between 10% and 20%.  Input data based on metered data is assumed to have an accuracy of 0% to 5%.  The agricultural pumping, which is the largest component of groundwater extraction, are estimated using the ITRC-METRIC based ET Rates.  ITRC (2020) lists the accuracy of the ET measurements as ranging from 7% to 10%. Land use is based on Kern County Agricultural Commissioner annual land use data including crop type.  Soil properties are assumed are based on local soil survey data which have a higher level of uncertainty.  Applying a weighted average of these inputs to the overall water budget produces a relative accuracy for the land use calculation for agricultural groundwater extractions ranging between 10% and 20%. ",0,,,,,0,,,,
62,,2020,KINGS,5-022.08,Single Annual Report,Entire Basin,156715,Flow meters,Direct,0-5 %,Typical accuracy for propeller and magnetic meters,0,,,,,1151403,Calculated pumping from crop water demands minus surface water deliveries,Estimate,10-20 %,Based on accuracy of crop evapotranspiration estimates,0,,,,,45300,Rural domestic pumping estimated based on vegetated area and standard indoor water use,Estimate,10-20 %,Accuracy based on professional judgement
"48,55,61,68",,2020,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,13513,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,532110,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,30600,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
42,,2020,MERCED,5-022.04,Single Annual Report,Entire Basin,114510,Metered volumes were reported by agencies who collect meter data for groundwater pumping.,Direct,Other,Metered data have a qualitative high level of accuracy. Many agencies reported metered groundwater pumping data and did not have information on an exact percent accuracy.,959,Data measured and recorded from pump tests using run time data,Direct,Other,Electronic records data have a qualitative high level of accuracy. ,0,,,,,585921,The MercedWRM was used to calculate private pumping for the agricultural sector based on land use and evapotranspiration data. Private pumping for the urban sector (primarily from domestic wells) is estimated by the MercedWRM based on census data for population multiplied by a volumetric water use factor averaged from the urban regions.,Estimate,Other,The estimates provided by the MercedWRM have a qualitative medium level of accuracy. ,0,,,,
43,,2020,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,136606,Total data available from meters,Direct,0-5 %,Estimated,0,,,,,202868,Step 1: Determine Cropping Pattern; Step 2: Determine total crop demand (Total Crop Demand = Annual Crop Acreage * Annual Crop ETc); Step 3: Adjust for effective precipitation and irrigation efficiency [Farm Demand = (Total Crop Demand - Effective Precipitation) / Irrigation Efficiency]; Step 4: Calculate Un-met Demand (Un-met Demand = Farm Demand - Surface Water Deliveries) ,Estimate,10-20 %,Crop ET estimated from model. Outside of Agricultural lands estimated with best available data.,0,,,,,0,,,,
"64,65,66,69,70,71",,2020,TULE,5-022.13,Multiple Annual Reports,Entire Basin,45140,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,710500,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
67,,2020,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,385000,"1,011 irrigation wells were metered. Extraction of wells without meters were assumed to be similar to that of metered wells. ",Direct,5-10 %,Accuracy can vary between meter models and calibration. Accuracy of 5-10% is an acceptable range considering this fact.,0,,,,,0,,,,,0,,,,,216,Estimate based on number of domestic wells and PWS self-reported values,Estimate,70-80 %,Percent was calculated based on the number of domestic wells and PWS self-reported values. 
133,,2021,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,2986,"Groundwater wells operated by the City of Chowchilla for urban water use are metered. Potable water demand in the City of Chowchilla is currently met exclusively through groundwater, which is pumped directly into the distribution system to meet demands in the Urban Water Use Sector. The remaining rural residential and domestic water demand is estimated based on an urban lands water balance.",Direct,5-10 %,"Estimated based on the typical field accuracy of meters, and the combined accuracy of volumes in the City of Chowchilla system (accounting for metered groundwater, metered deliveries, unmetered deliveries, and apparent losses)",0,,,,,371374,"Calculated as the closure of a Land Surface System water budget for the Chowchilla Subbasin (closure of each water use sector was calculated separately for each subregion, accounting for measured pumping in City of Chowchilla). All other Land Surface System water budget components were quantified using measured volumes (where available) or using unitized IWFM Demand Calculator (IDC) model results multiplied by land use areas. Land use data was developed from Land IQ data, crop reports, and County Agriculture Commission land use data.",Estimate,20-30 %,"Typical uncertainty when calculated for Land Surface System water balance closure. Uncertainty of the water budget closure is calculated as the combined uncertainty of all other water budget flow paths following the procedure described by Clemmens and Burt (1997), as discussed in the Annual Report. The uncertainties of all other flow paths are quantified based on measurement device accuracy, technical literature, or professional judgment.",0,,,,,0,,,,
