PROGRAM_TYPE,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSP_NAME,GSA_NAME,ALT_AGENCY_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,STATE_WELL_NUMBER,RP_ELEVATION,RP_DESCRIPTION,RP_ELEVATION_SUBSURFACE,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,DEPTH,CASED_DEPTH,DEPTH_TOP,DEPTH_BOTTOM,COUNTY,CREATED_DT,UPDATED_DT
SGMA,56,Floragold Well,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,122.95,No description available,,118.005,Unknown,Unknown,37.4698,-121.15,,,,,Stanislaus,2020-01-10 12:16:46.033115,2021-11-10 13:55:18.212000
SGMA,57,Well 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,80.83,No description available,,76.986,Unknown,Unknown,37.4765,-121.11,,,,,Stanislaus,2020-01-10 12:16:46.041449,2021-11-10 13:55:35.103000
SGMA,57,Well 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,80.83,No description available,,76.986,Unknown,Unknown,37.4765,-121.11,,,,,Stanislaus,2020-01-10 12:16:46.041449,2021-11-10 13:55:35.103000
SGMA,58,Well 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,104.18,No description available,,102.985,Unknown,Unknown,37.4712,-121.133,,,,,Stanislaus,2020-01-10 12:16:46.049219,2021-11-10 13:55:46.272000
SGMA,58,Well 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,104.18,No description available,,102.985,Unknown,Unknown,37.4712,-121.133,,,,,Stanislaus,2020-01-10 12:16:46.049219,2021-11-10 13:55:46.272000
SGMA,59,Well 4,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,102.7,No description available,,102.656,Unknown,Unknown,37.4794,-121.141,,,,,Stanislaus,2020-01-10 12:16:46.055762,2021-11-10 13:55:58.921000
SGMA,59,Well 4,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,102.7,No description available,,102.656,Unknown,Unknown,37.4794,-121.141,,,,,Stanislaus,2020-01-10 12:16:46.055762,2021-11-10 13:55:58.921000
SGMA,61,Sub Monit Point 6,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,188.365,No description available,,181.905,Unknown,Unknown,37.4717,-121.177,,,,,Stanislaus,2020-01-10 12:16:46.075658,2021-11-10 14:15:50.695000
SGMA,61,Sub Monit Point 6,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,City of Patterson GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,188.365,No description available,,181.905,Unknown,Unknown,37.4717,-121.177,,,,,Stanislaus,2020-01-10 12:16:46.075658,2021-11-10 14:15:50.695000
SGMA,62,Sub Monit Point 8,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Northwestern Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,187.467,No description available,,178.909,Unknown,Unknown,37.4202,-121.131,,,,,Stanislaus,2020-01-10 12:17:53.200999,2021-11-10 14:16:35.500000
SGMA,62,Sub Monit Point 8,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Northwestern Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,187.467,No description available,,178.909,Unknown,Unknown,37.4202,-121.131,,,,,Stanislaus,2020-01-10 12:17:53.200999,2021-11-10 14:16:35.500000
SGMA,63,Locust Avenue Well,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Patterson Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,101.88,No description available,,99.297,Unknown,Unknown,37.4616,-121.115,,,,,Stanislaus,2020-01-10 12:20:44.457947,2021-11-10 13:57:09.176000
SGMA,63,Locust Avenue Well,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Patterson Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,101.88,No description available,,99.297,Unknown,Unknown,37.4616,-121.115,,,,,Stanislaus,2020-01-10 12:20:44.457947,2021-11-10 13:57:09.176000
SGMA,64,Pumping Plant No. 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Patterson Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,67.3,No description available,,63.005,Unknown,Unknown,37.4801,-121.098,,,,,Stanislaus,2020-01-10 12:20:44.466275,2021-11-10 13:57:19.155000
SGMA,64,Pumping Plant No. 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Patterson Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,67.3,No description available,,63.005,Unknown,Unknown,37.4801,-121.098,,,,,Stanislaus,2020-01-10 12:20:44.466275,2021-11-10 13:57:19.155000
SGMA,65,River Station,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Patterson Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,55.25,No description available,,46.478,Unknown,Unknown,37.4972,-121.083,,,,,Stanislaus,2020-01-10 12:20:44.473594,2021-11-10 13:57:31.868000
SGMA,65,River Station,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Patterson Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,55.25,No description available,,46.478,Unknown,Unknown,37.4972,-121.083,,,,,Stanislaus,2020-01-10 12:20:44.473594,2021-11-10 13:57:31.868000
SGMA,68,WSID 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,West Stanislaus Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,99.281,GSE from DEM,,99.281,Unknown,Unknown,37.5692,-121.22,,,,,Stanislaus,2020-01-10 12:22:52.435761,2021-11-10 13:57:56.926000
SGMA,68,WSID 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,West Stanislaus Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,99.281,GSE from DEM,,99.281,Unknown,Unknown,37.5692,-121.22,,,,,Stanislaus,2020-01-10 12:22:52.435761,2021-11-10 13:57:56.926000
SGMA,69,WSID 21,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,West Stanislaus Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,167.406,GSE from DEM,,167.406,Unknown,Unknown,37.5584,-121.244,,,,,Stanislaus,2020-01-10 12:22:52.443593,2021-11-10 13:58:15.283000
SGMA,69,WSID 21,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,West Stanislaus Irrigation District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,167.406,GSE from DEM,,167.406,Unknown,Unknown,37.5584,-121.244,,,,,Stanislaus,2020-01-10 12:22:52.443593,2021-11-10 13:58:15.283000
SGMA,71,Sub Monit Point 1,Surveying/Benchmark Sites,5-022.15 Tracy,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,192.205,No description available,,191.672,Unknown,Unknown,37.6549,-121.398,,,,,Stanislaus,2020-01-10 12:25:16.515763,2021-11-10 14:17:48.964000
SGMA,71,Sub Monit Point 1,Surveying/Benchmark Sites,5-022.15 Tracy,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,192.205,No description available,,191.672,Unknown,Unknown,37.6549,-121.398,,,,,Stanislaus,2020-01-10 12:25:16.515763,2021-11-10 14:17:48.964000
SGMA,72,Sub Monit Point 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,192.5,No description available,,200.027,Unknown,Unknown,37.618,-121.325,,,,,Stanislaus,2020-01-10 12:25:16.523921,2021-11-10 14:18:34.467000
SGMA,72,Sub Monit Point 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,192.5,No description available,,200.027,Unknown,Unknown,37.618,-121.325,,,,,Stanislaus,2020-01-10 12:25:16.523921,2021-11-10 14:18:34.467000
SGMA,73,Sub Monit Point 3,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,191.195,No description available,,186.698,Unknown,Unknown,37.56,-121.271,,,,,Stanislaus,2020-01-10 12:25:16.531782,2021-11-10 14:19:36.934000
