GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
43,,2020,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Sum of surface water deliveries, groundwater extraction, and effective precipitation.",774527,,375293,0,0,0,315262,738708,Rural Domestic,0,0,0,0,8701,27118
"64,65,66,69,70,71",,2020,TULE,5-022.13,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,1361600,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,755720,268600,4020,900,353960,1061600,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,71400,0,0,0,73150
67,,2020,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,940000,,400216,0,0,0,539655,934000,Small water systems (4700 AF) and Domestic wells (82 AF),0,0,142,0,4782,913
133,,2021,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,"Total Water Use is assumed to be the total volume of water that is applied to land surfaces or that precipitates onto land surfaces. A portion of this water is consumptively ""used"" through evapotranspiration/evaporation. The remaining water is ""used"" to recharge the Subbasin through deep percolation and seepage of runoff.
Groundwater is determined following the methods described in Part B.
Surface water is determined from delivery records (from Districts) and riparian diversion reports (eWRIMS).
Precipitation is determined from PRISM data.",404610,Precipitation,374360,18820,0,0,11430,392220,,0,0,0,1050,0,11340
109,,2021,COSUMNES,5-022.16,Single Annual Report,Entire Basin,"All water source types represented by a combination of metered, reported, and estimated uses.",175800,,149300,0,1300,0,25200,156600,,11000,0,0,0,0,8200
113,,2021,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six Subbasin GSP regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1583300,"Imported Recycled Water Surface Storage reported from the North Valley Regional Recycled Water Project by Del Puerto Water District, stored in San Luis Reservoir",438400,9700,9300,16100,1109800,1238400,"Imported Recycled Water Surface Storage reported from the North Valley Regional Recycled Water Project by Del Puerto Water District, stored in San Luis Reservoir",3200,0,314900,0,9700,17100
137,,2021,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. City and Irrigation district groundwater wells were metered. Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well. Monthly self reported surface water diversions. ,229219,,42094,0,1084,0,186040,193170,,0,0,0,0,0,33665
86,,2021,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1383924,,809327,0,0,0,574597,1269126,,0,0,0,0,0,144799
171,,2021,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,1120800,,1036600,0,12300,0,82900,949700,,21800,5800,0,400,0,64600
146,,2021,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",3267023,,2471156,0,51926,121,774033,2467092,"Banking Recovery, exchanges and pumpins",0,74887,18036,0,491137,215870
155,,2021,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2628101,Riparian water diversions,2293436,30099,9252,0,295314,2317832,JID Wells Pumped in McMullin GSA,0,21601,0,0,42310,246358
