GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
385,,2024,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1387588,,799476,0,0,0,588112,1256376,,0,0,0,0,0,131212
472,,2024,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,1039800,,580500,0,12100,0,577200,499000,,21800,38300,0,400,0,59200
430,,2024,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",3175868,,1179906,0,56291,922,2075281,2213800,"Banking Recovery, exchanges, pumpins, other uses",0,688278,21643,0,47952,204195
453,,2024,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2638999,Riparian diversions and other non-project water,1256556,55773,5028,0,1321642,2192784,JID Wells Pumped in McMullin GSA,0,200601,0,0,6040,239574
391,,2024,MADERA,5-022.06,Single Annual Report,Entire Basin,Sum of groundwater and surface water reported in Sections A-C (Sections 3-4 of the Annual Report). It is noted that this is a refinement of the approach in prior Annual Reports; this refinement was made as part of efforts to bring consistency across the Subbasin water budget in the coordinated Subbasin Annual Report document.,805400,,536400,0,0,0,269000,772800,,0,7400,0,0,0,25200
405,,2024,MERCED,5-022.04,Single Annual Report,Entire Basin,"Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct measurements, estimates from the MercedWRM, and estimates from Merced National Wildlife Refuge staff. Surface water diversions were measured directly.",1068989,,569798,0,0,0,499191,1009973,,0,0,12658,0,0,46358
412,,2024,MODESTO,5-022.02,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by Agencies or Cities, and by estimates using the Groundwater model C2VSimTM. Surface water supply was obtained by measurements of Agencies, water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.",550300,,260800,0,0,0,289500,474600,,0,0,0,0,0,75700
401,,2024,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,Flow Meters,39120,,28604,0,952,0,10516,32250,,0,0,0,0,0,200
413,,2024,TRACY,5-022.15,Single Annual Report,Entire Basin,"Metered, Estimated",153200,Remediation,11300,2200,1200,0,140700,121100,Remediation,800,2700,0,0,2200,31800
477,,2024,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Sum of surface water deliveries, groundwater extraction, and effective precipitation.",1149728,,355005,0,0,0,422621,1100536,Rural Domestic,0,16999,0,0,8032,24031
480,,2024,TULE,5-022.13,Single Annual Report,Entire Basin,Groundwater- ETc & Meters. Surface water - Meters. Urban - metered/UGWMP per capita estimate. Recharged/recycled - metered/estimated,1568582,,559742,0,6200,1060,1002600,1165260,Water used for export,0,344080,0,0,40700,18542
407,,2024,TURLOCK,5-022.03,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by local agencies, and by estimates using the groundwater model C2VSimTM. 
Surface water supply was obtained by measurements provided by local agencies and water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.
Recycled water supply was obtained by measurements provided by local agencies and Hilmar Cheese Company.",788200,,363000,0,5100,0,420100,752000,,0,0,0,0,0,36200
473,,2024,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,1025000,,82000,0,0,0,943000,768000,Small water systems (4146 AF) and Domestic wells (82 AF),0,252000,216,0,4492,851
439,,2024,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,"Total water use is equal to the sum of total estimated groundwater extraction, the total surface water supplies, and total applied recycled water.",110510,,30296,0,143,0,80070,103770,,3162,2258,0,821,0,500
500,,2025,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,Sum of groundwater and surface water reported in Sections A-C (Sections 3-4 of the Annual Report). It is noted that this is a refinement of the approach in Annual Reports prior to WY2024.,457900,,305800,0,0,0,152100,400600,,0,50500,0,0,0,6800
566,,2025,COSUMNES,5-022.16,Single Annual Report,Entire Basin,"All water source types represented by a combination of metered, reported and estimated uses.",141800,,123300,0,1200,0,17300,0,,0,0,0,0,0,0
484,,2025,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbaisn across seven Subbasin GSA Group regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1687000,,431200,0,29900,14100,1211800,1344500,,3000,2600,320800,0,0,16100
573,,2025,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. City and Irrigation district groundwater wells were metered. Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well. Monthly self reported surface water diversions. ,200986,,50978,0,1704,0,143276,0,,167000,0,0,0,0,35690
545,,2025,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1403882,,804112,0,0,0,599770,1281981,,0,0,0,0,0,121902
490,,2025,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,955900,,635000,0,12100,0,394000,553200,,21500,24200,0,400,0,59900
537,,2025,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",2721532,,1214614,0,46517,533,1459869,1942876,"Banking Recovery, exchanges, pumpins, other uses",5973,244174,22153,0,297103,209253
572,,2025,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2614840,Riparian diversions and other non-project water,1555781,50841,10821,0,997397,2249761,JID Wells Pumped in McMullin GSA,0,96701,0,0,30353,238025
501,,2025,MADERA,5-022.06,Single Annual Report,Entire Basin,Sum of groundwater and surface water reported in Sections A-C (Sections 3-4 of the Annual Report). It is noted that this is a refinement of the approach in Annual Reports prior to WY2024. This refinement was made as part of efforts to bring consistency across the Subbasin water budget in the coordinated Subbasin Annual Report document.,764900,,567900,0,0,0,197000,717800,,0,17200,0,0,0,29900
487,,2025,MERCED,5-022.04,Single Annual Report,Entire Basin,"Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct measurements, estimates from the MercedWRM, and estimates from Merced National Wildlife Refuge staff. Surface water diversions were measured directly.",1177068,,652307,0,0,0,524761,1121426,,0,0,10278,0,0,45364
489,,2025,MODESTO,5-022.02,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by Agencies or Cities, and by estimates using the groundwater model C2VSimTM. Surface water supply was obtained by measurements of Agencies, water rights (CalWATRS) data in conjunction with demands simulated by the C2VSimTM model.",590900,,279800,0,0,0,311100,514700,,0,0,0,0,0,76200
568,,2025,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,Flow Meters,42332,,32381,0,820,0,9951,37463,,0,0,0,0,0,200
554,,2025,TRACY,5-022.15,Single Annual Report,Entire Basin,"Metered, Estimated",179900,Remediation,4300,2500,1600,0,171500,139100,Remediation,800,1700,0,0,2500,39200
567,,2025,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Sum of surface water deliveries, groundwater extraction, and effective precipitation.",900610,,392833,0,0,0,374939,859725,Rural Domestic,1704,5466,0,0,8775,24940
574,,2025,TULE,5-022.13,Single Annual Report,Entire Basin,Groundwater- ETc & Meters. Surface water - Meters. Urban - metered/UGWMP per capita estimate. Recharged/recycled - metered/estimated,1121170,,527820,0,2610,1220,589520,936720,For export,0,147290,0,0,17200,19960
535,,2025,TURLOCK,5-022.03,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by local agencies, and by estimates using the groundwater model C2VSimTM. 
Surface water supply was obtained by measurements provided by local agencies and water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.
Recycled water supply was obtained by measurements provided by local agencies and Hilmar Cheese Company.",857700,,392700,0,4700,0,460300,812400,,0,0,0,0,0,45300
571,,2025,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,874000,,52000,0,0,0,822000,834000,Small water systems (4178 AF) and Domestic wells (82 AF),0,34000,238,0,4260,845
556,,2025,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,"Total water use is equal to the sum of total estimated groundwater extraction, the total surface water supplies, and total applied recycled water.",105592,,31537,0,149,0,73906,101141,,2979,41,0,900,0,531
