SUBBASIN_NUMBER,BASIN_NAME,ANNUAL_REPORT_AREA,REPORT_YEAR,SINGLE_MULTIPLE_AR
5-022.12,TULARE LAKE,Entire Basin,2025,Single Annual Report
5-022.13,TULE,Basin 5-022.13 - ETGSA GSP,2019,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 - ETGSA GSP,2020,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 - ETGSA GSP,2021,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 - ETGSA GSP,2022,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 - ETGSA GSP,2023,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 TCWA - Tule,2019,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 TCWA - Tule,2020,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 TCWA - Tule,2021,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 TCWA - Tule,2022,Multiple Annual Reports
5-022.13,TULE,Basin 5-022.13 TCWA - Tule,2023,Multiple Annual Reports
5-022.13,TULE,DEID GSA,2019,Multiple Annual Reports
5-022.13,TULE,DEID GSA,2020,Multiple Annual Reports
5-022.13,TULE,DEID GSA,2021,Multiple Annual Reports
5-022.13,TULE,DEID GSA,2022,Multiple Annual Reports
5-022.13,TULE,DEID GSA,2023,Multiple Annual Reports
5-022.13,TULE,Entire Basin,2024,Single Annual Report
5-022.13,TULE,Entire Basin,2025,Single Annual Report
5-022.13,TULE,LTRID GSA,2019,Multiple Annual Reports
5-022.13,TULE,LTRID GSA,2020,Multiple Annual Reports
5-022.13,TULE,LTRID GSA,2021,Multiple Annual Reports
5-022.13,TULE,LTRID GSA,2022,Multiple Annual Reports
5-022.13,TULE,LTRID GSA,2023,Multiple Annual Reports
5-022.13,TULE,Pixley ID GSA,2019,Multiple Annual Reports
5-022.13,TULE,Pixley ID GSA,2020,Multiple Annual Reports
5-022.13,TULE,Pixley ID GSA,2021,Multiple Annual Reports
5-022.13,TULE,Pixley ID GSA,2022,Multiple Annual Reports
5-022.13,TULE,Pixley ID GSA,2023,Multiple Annual Reports
5-022.13,TULE,Tule Subbasin Alpaugh GSP,2019,Multiple Annual Reports
5-022.13,TULE,Tule Subbasin Alpaugh GSP,2020,Multiple Annual Reports
5-022.13,TULE,Tule Subbasin Alpaugh GSP,2021,Multiple Annual Reports
5-022.13,TULE,Tule Subbasin Alpaugh GSP,2022,Multiple Annual Reports
5-022.13,TULE,Tule Subbasin Alpaugh GSP,2023,Multiple Annual Reports
5-022.14,KERN COUNTY,Entire Basin,2019,Single Annual Report
5-022.14,KERN COUNTY,Entire Basin,2020,Single Annual Report
5-022.14,KERN COUNTY,Entire Basin,2021,Single Annual Report
5-022.14,KERN COUNTY,Entire Basin,2022,Single Annual Report
5-022.14,KERN COUNTY,Entire Basin,2023,Single Annual Report
5-022.14,KERN COUNTY,Entire Basin,2024,Single Annual Report
5-022.14,KERN COUNTY,Entire Basin,2025,Single Annual Report
5-022.15,TRACY,Entire Basin,2021,Single Annual Report
5-022.15,TRACY,Entire Basin,2022,Single Annual Report
5-022.15,TRACY,Entire Basin,2023,Single Annual Report
5-022.15,TRACY,Entire Basin,2024,Single Annual Report
5-022.15,TRACY,Entire Basin,2025,Single Annual Report
5-022.16,COSUMNES,Entire Basin,2021,Single Annual Report
5-022.16,COSUMNES,Entire Basin,2022,Single Annual Report
5-022.16,COSUMNES,Entire Basin,2023,Single Annual Report
5-022.16,COSUMNES,Entire Basin,2024,Single Annual Report
5-022.16,COSUMNES,Entire Basin,2025,Single Annual Report
5-022.18,WHITE WOLF,Entire Basin,2021,Single Annual Report
5-022.18,WHITE WOLF,Entire Basin,2022,Single Annual Report
5-022.18,WHITE WOLF,Entire Basin,2023,Single Annual Report
5-022.18,WHITE WOLF,Entire Basin,2024,Single Annual Report
5-022.18,WHITE WOLF,Entire Basin,2025,Single Annual Report
5-022.19,EAST CONTRA COSTA,Entire Basin,2021,Single Annual Report
5-022.19,EAST CONTRA COSTA,Entire Basin,2022,Single Annual Report
5-022.19,EAST CONTRA COSTA,Entire Basin,2023,Single Annual Report
5-022.19,EAST CONTRA COSTA,Entire Basin,2024,Single Annual Report
5-022.19,EAST CONTRA COSTA,Entire Basin,2025,Single Annual Report
